id,title,description,image_link,link,product_type,brand,price,availability,item_group_id,checkout_url,additional_image_link,sale_price_effective_date,sale_price,condition,visibility,default_product,variant
wc_post_id_4224,"Salame Citrico","Peso: 03 - 300 grs",https://latablita.com.ar/wp-content/uploads/2020/11/salame-citrico-1.jpg,https://latablita.com.ar/tienda/salame-citrico/?attribute_pa_peso=03-300-grs,"Fiambres, Salames","Fiambrería La Tablita",1050ARS,in stock,wc_post_id_2718,https://latablita.com.ar/carrito/?add-to-cart=2718&variation_id=4224&attribute_pa_peso=03-300-grs,,1970-01-29T00:00+00:00/1970-01-30T23:59+00:00,1050ARS,new,published,,"peso:01 - 100 grs/02 - 200 grs/03 - 300 grs:03 - 300 grs"
wc_post_id_4223,"Salame Citrico","Peso: 02 - 200 grs",https://latablita.com.ar/wp-content/uploads/2020/11/salame-citrico-1.jpg,https://latablita.com.ar/tienda/salame-citrico/?attribute_pa_peso=02-200-grs,"Fiambres, Salames","Fiambrería La Tablita",700ARS,in stock,wc_post_id_2718,https://latablita.com.ar/carrito/?add-to-cart=2718&variation_id=4223&attribute_pa_peso=02-200-grs,,1970-01-29T00:00+00:00/1970-01-30T23:59+00:00,700ARS,new,published,,"peso:01 - 100 grs/02 - 200 grs/03 - 300 grs:02 - 200 grs"
wc_post_id_4222,"Salame Citrico","Peso: 01 - 100 grs",https://latablita.com.ar/wp-content/uploads/2020/11/salame-citrico-1.jpg,https://latablita.com.ar/tienda/salame-citrico/?attribute_pa_peso=01-100-grs,"Fiambres, Salames","Fiambrería La Tablita",350ARS,in stock,wc_post_id_2718,https://latablita.com.ar/carrito/?add-to-cart=2718&variation_id=4222&attribute_pa_peso=01-100-grs,,1970-01-29T00:00+00:00/1970-01-30T23:59+00:00,350ARS,new,published,,"peso:01 - 100 grs/02 - 200 grs/03 - 300 grs:01 - 100 grs"
wc_post_id_4194,"Paleggio","PALEGGIO 
¿Sos de los Fans de los quesos intensos ? ¡Esto es algo especial para vos! 
No te podes perder esta delicia!!! 
Taleggio Patagonico by @queseriaventimiglia  en Neuquén 
Queso de cáscara lavada elaborado con pura leche de Vaca jersey 
 
cantidad 200 gramos",https://latablita.com.ar/wp-content/uploads/2021/07/Paleggio.jpg,https://latablita.com.ar/tienda/paleggio/,"Quesos, Blandos","Fiambrería La Tablita",858ARS,in stock,wc_post_id_4194,https://latablita.com.ar/carrito/?add-to-cart=4194,"https://latablita.com.ar/wp-content/uploads/2021/07/Paleggio-2.jpg",1970-01-29T00:00+00:00/1970-01-30T23:59+00:00,858ARS,new,published,,
F19_4192,"Jamón Crudo Jabugo Pata Negra","Peso: 02 - 200 grs",https://latablita.com.ar/wp-content/uploads/2019/11/foto-72.jpg,https://latablita.com.ar/tienda/crudo-espanol-iberico-de-cebo/?attribute_pa_peso=02-200-grs,"Fiambres, Jamón Crudo","Fiambrería La Tablita",7998ARS,in stock,F19_570,https://latablita.com.ar/carrito/?add-to-cart=570&variation_id=4192&attribute_pa_peso=02-200-grs,,1970-01-29T00:00+00:00/1970-01-30T23:59+00:00,7998ARS,new,published,,"peso:01 - 100 grs/02 - 200 grs:02 - 200 grs"
F19_4191,"Jamón Crudo Jabugo Pata Negra","Peso: 01 - 100 grs",https://latablita.com.ar/wp-content/uploads/2019/11/foto-72.jpg,https://latablita.com.ar/tienda/crudo-espanol-iberico-de-cebo/?attribute_pa_peso=01-100-grs,"Fiambres, Jamón Crudo","Fiambrería La Tablita",3999ARS,in stock,F19_570,https://latablita.com.ar/carrito/?add-to-cart=570&variation_id=4191&attribute_pa_peso=01-100-grs,,1970-01-29T00:00+00:00/1970-01-30T23:59+00:00,3999ARS,new,published,,"peso:01 - 100 grs/02 - 200 grs:01 - 100 grs"
wc_post_id_4183,"Ciervo Ahumado","Peso: 02 - 200 grs",https://latablita.com.ar/wp-content/uploads/2021/06/ciervo.jpg,https://latablita.com.ar/tienda/ciervo-ahumado/?attribute_pa_peso=02-200-grs,"Fiambres","Fiambrería La Tablita",1180ARS,in stock,wc_post_id_4181,https://latablita.com.ar/carrito/?add-to-cart=4181&variation_id=4183&attribute_pa_peso=02-200-grs,,1970-01-29T00:00+00:00/1970-01-30T23:59+00:00,1180ARS,new,published,,"peso:01 - 100 grs/02 - 200 grs/03 - 300 grs:02 - 200 grs"
wc_post_id_4184,"Ciervo Ahumado","Peso: 03 - 300 grs",https://latablita.com.ar/wp-content/uploads/2021/06/ciervo.jpg,https://latablita.com.ar/tienda/ciervo-ahumado/?attribute_pa_peso=03-300-grs,"Fiambres","Fiambrería La Tablita",1770ARS,in stock,wc_post_id_4181,https://latablita.com.ar/carrito/?add-to-cart=4181&variation_id=4184&attribute_pa_peso=03-300-grs,,1970-01-29T00:00+00:00/1970-01-30T23:59+00:00,1770ARS,new,published,,"peso:01 - 100 grs/02 - 200 grs/03 - 300 grs:03 - 300 grs"
wc_post_id_4182,"Ciervo Ahumado","Peso: 01 - 100 grs",https://latablita.com.ar/wp-content/uploads/2021/06/ciervo.jpg,https://latablita.com.ar/tienda/ciervo-ahumado/?attribute_pa_peso=01-100-grs,"Fiambres","Fiambrería La Tablita",590ARS,in stock,wc_post_id_4181,https://latablita.com.ar/carrito/?add-to-cart=4181&variation_id=4182&attribute_pa_peso=01-100-grs,,1970-01-29T00:00+00:00/1970-01-30T23:59+00:00,590ARS,new,published,,"peso:01 - 100 grs/02 - 200 grs/03 - 300 grs:01 - 100 grs"
wc_post_id_4178,"Azul Tres Leches","Queso Azul Tres leches 
 
Elaborado con leche de oveja, cabra y Jersey 
 
Originario de la Patagonia Argentina 
 
Super sabroso y depende el punto de estacionamiento puede ser cremoso 
 
cantidad 200 gramos",https://latablita.com.ar/wp-content/uploads/2021/06/3-leches.jpg,https://latablita.com.ar/tienda/azul-tres-leches/,"Quesos, Azules, Cabra, Oveja","Fiambrería La Tablita",1118ARS,in stock,wc_post_id_4178,https://latablita.com.ar/carrito/?add-to-cart=4178,"https://latablita.com.ar/wp-content/uploads/2021/06/3-leches-2.jpg",1970-01-29T00:00+00:00/1970-01-30T23:59+00:00,1118ARS,new,published,,
